transcript_id,transcript_position,score
ENST00000054666,463,0.59
ENST00000162749,1363,0.23
ENST00000053468,851,0.2
ENST00000162749,2119,0.54
ENST00000078429,4063,0.7
ENST00000081029,1037,0.56
ENST00000055077,973,0.54
ENST00000177742,24,0.64
ENST00000561482,1129,0.38
ENST00000175506,1951,0.09
ENST00000170447,1873,0.56
ENST00000169551,1261,0.3
ENST00000000233,261,0.7
ENST00000053867,1061,0.41
ENST00000173527,649,0.57
ENST00000005386,1187,0.47
ENST00000037869,412,0.45
ENST00000005257,2473,0.02
ENST00000054666,166,0.34
ENST00000054666,75,0.31
ENST00000561482,2153,0.81
ENST00000011619,2976,0.55
ENST00000601697,1080,0.51
ENST00000000412,1283,0.6
ENST00000601697,966,0.46
ENST00000601697,1422,0.75
ENST00000054950,2265,0.51
ENST00000162749,756,0.61
ENST00000013807,1054,0.57
ENST00000000412,547,0.5
ENST00000601697,1005,0.62
ENST00000546623,169,0.73
ENST00000168216,755,0.64
ENST00000199389,2051,0.32
ENST00000005260,1284,0.6
ENST00000173527,951,0.66
ENST00000003100,2360,0.85
ENST00000158771,888,0.13
ENST00000014930,586,0.6
ENST00000005260,542,0.58
ENST00000053867,2121,0.05
ENST00000175506,1716,0.51
ENST00000005257,525,0.3
ENST00000175091,1343,0.52
ENST00000001008,1642,0.68
ENST00000085068,356,0.81
ENST00000005286,2792,0.38
ENST00000175506,1455,0.45
ENST00000014914,2505,0.2
ENST00000081029,1437,0.65
ENST00000081029,1232,0.58
ENST00000005260,1251,0.72
ENST00000053468,427,0.47
ENST00000044462,798,0.24
ENST00000055077,499,0.23
ENST00000394308,1424,0.55
ENST00000011619,1968,0.39
ENST00000169551,296,0.26
ENST00000014914,1935,0.63
ENST00000166345,2301,0.41
ENST00000300853,1079,0.58
ENST00000175506,865,0.48
ENST00000175506,1313,0.42
ENST00000166345,818,0.34
ENST00000003100,1773,0.33
ENST00000177742,353,0.7
ENST00000037869,1206,0.3
ENST00000199389,1570,0.46
ENST00000199389,2256,0.52
ENST00000054666,2008,0.46
ENST00000199389,1450,0.16
ENST00000055077,1102,0.58
ENST00000001008,1924,0.62
ENST00000173527,260,0.65
ENST00000549920,403,0.35
ENST00000169551,1278,0.12
ENST00000005260,1959,0.35
ENST00000014914,2077,0.28
ENST00000549920,622,0.31
ENST00000160827,846,0.42
ENST00000012443,1472,0.56
ENST00000169551,39,0.81
ENST00000003100,1305,0.35
ENST00000158771,1034,0.15
ENST00000009041,276,0.42
ENST00000175506,1077,0.74
ENST00000022615,1333,0.25
ENST00000000412,783,0.5
ENST00000157812,397,0.55
ENST00000166345,499,0.46
ENST00000394308,496,0.37
ENST00000003100,1210,0.53
ENST00000394308,1918,0.83
ENST00000037869,639,0.65
ENST00000001008,1454,0.7
ENST00000300853,870,0.38
ENST00000007516,186,0.54
ENST00000166345,585,0.54
ENST00000561482,1253,0.54
ENST00000012443,488,0.47
ENST00000001008,1666,0.55
ENST00000601697,129,0.91
ENST00000005260,585,0.36
ENST00000085068,953,0.79
ENST00000053867,1849,0.7
ENST00000005260,897,0.39
ENST00000085068,786,0.38
ENST00000170447,2147,0.45
ENST00000166345,1918,0.38
ENST00000175091,542,0.47
ENST00000054950,895,0.49
ENST00000561482,1271,0.73
ENST00000002165,1553,0.57
ENST00000524349,521,0.59
ENST00000054950,715,0.54
ENST00000007264,249,0.44
ENST00000009041,811,0.47
ENST00000199389,2235,0.18
ENST00000357348,125,0.6
ENST00000394308,1286,0.72
ENST00000397375,653,0.59
ENST00000199389,1033,0.65
ENST00000169551,864,0.63
ENST00000549920,507,0.3
ENST00000054666,1040,0.08
ENST00000157812,1324,0.3
ENST00000044462,361,0.79
ENST00000300853,1043,0.58
ENST00000013807,909,0.41
ENST00000055077,116,0.38
ENST00000177742,107,0.38
ENST00000054666,1260,0.57
ENST00000001008,2013,0.53
ENST00000005260,984,0.63
ENST00000037869,454,0.33
ENST00000007264,1564,0.35
ENST00000357348,1427,0.63
ENST00000170447,1287,0.29
ENST00000007516,626,0.74
ENST00000011619,2305,0.58
ENST00000012443,1802,0.7
ENST00000170447,2400,0.15
ENST00000023939,151,0.59
ENST00000157812,467,0.7
ENST00000005257,504,0.82
ENST00000009589,195,0.37
ENST00000561482,890,0.49
ENST00000175506,2062,0.3
ENST00000037869,1191,0.64
ENST00000166345,2281,0.5
ENST00000521262,278,0.57
ENST00000002165,1387,0.55
ENST00000549920,708,0.52
ENST00000054666,1793,0.51
ENST00000549273,56,0.28
ENST00000160827,1031,0.81
ENST00000162749,1585,0.6
ENST00000053867,841,0.61
ENST00000173527,546,0.66
ENST00000054666,233,0.55
ENST00000000412,2462,0.53
ENST00000394308,1771,0.54
ENST00000169551,1196,0.67
ENST00000011619,2164,0.88
ENST00000173527,746,0.5
ENST00000007516,545,0.55
ENST00000000233,752,0.2
ENST00000169551,805,0.45
ENST00000053468,1137,0.55
ENST00000005260,1626,0.53
ENST00000005257,924,0.42
ENST00000053867,2258,0.64
ENST00000169551,574,0.57
ENST00000177742,755,0.48
ENST00000001008,737,0.36
ENST00000014914,2545,0.47
ENST00000084795,256,0.37
